name,brand,category,subCategory,price,countInStock,description,sizes,images
Nike Air Zoom Pegasus 40,Nike,Footwear,Shoe,130.00,100,Premium running shoe.,40 41 42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/61e83bfd-cd08-41ec-b08e-05566f1b34a6/air-zoom-pegasus-40-running-shoes.png"
Nike ZoomX Vaporfly 3,Nike,Footwear,Shoe,250.00,100,Elite racing shoe.,41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a1c1d8fc-cfc4-4a41-b659-1f20b411d31d/zoomx-vaporfly-next-3-racing-shoes.png"
Nike Invincible 3,Nike,Footwear,Shoe,180.00,100,Max cushion daily trainer.,40 42 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/000c0a90-33b0-466d-9799-693427ec6514/invincible-3-road-running-shoes.png"
Nike Vomero 17,Nike,Footwear,Shoe,160.00,100,High mileage running shoe.,41 42 43 45,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/dfbf077e-2e0e-4361-9f93-0199e82103f1/air-zoom-vomero-17-road-running-shoes.png"
Nike Structure 25,Nike,Footwear,Shoe,140.00,100,Stability running shoe.,40 41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6e088d84-c8c3-42e1-95ef-ca43c08006d9/structure-25-road-running-shoes.png"
Nike InfinityRN 4,Nike,Footwear,Shoe,160.00,100,Supportive run shoe.,40 41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/61e83bfd-cd08-41ec-b08e-05566f1b34a6/air-zoom-pegasus-40-running-shoes.png"
Nike Winflo 10,Nike,Footwear,Shoe,100.00,100,Entry level runner.,41 42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/dfbf077e-2e0e-4361-9f93-0199e82103f1/air-zoom-vomero-17-road-running-shoes.png"
Nike Downshifter 13,Nike,Footwear,Shoe,70.00,100,Budget daily trainer.,40 42 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/000c0a90-33b0-466d-9799-693427ec6514/invincible-3-road-running-shoes.png"
Nike Revolution 7,Nike,Footwear,Shoe,65.00,100,Lightweight running shoe.,41 43 45,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a1c1d8fc-cfc4-4a41-b659-1f20b411d31d/zoomx-vaporfly-next-3-racing-shoes.png"
Nike ReactX,Nike,Footwear,Shoe,140.00,100,Energy return runner.,40 41 42 43,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/61e83bfd-cd08-41ec-b08e-05566f1b34a6/air-zoom-pegasus-40-running-shoes.png"
Nike Zegama,Nike,Footwear,Shoe,160.00,100,Trail running shoe.,41 42 43 44,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/dfbf077e-2e0e-4361-9f93-0199e82103f1/air-zoom-vomero-17-road-running-shoes.png"
